,Borehole,X,Y,Z_Top,Z_Bot,Formation,hydrogeoCode
1,NT-MW20-8,487379.258,5147487.331,298.7,298.68,Organics,1
2,NT-MW20-8,487379.258,5147487.331,298.68,297.86,Sand/Silt/Till1,3
3,NT-MW20-8,487379.258,5147487.331,297.86,291.44,Bedrock,7
4,NT-MW21-10,487396.729,5147463.826,297.29,287.51,Bedrock,7
5,NT-MW22-9,487367.603,5147577.135,297.68,297.58,Organics,1
6,NT-MW22-9,487367.603,5147577.135,297.58,297.48,Sand/Silt/Till1,3
7,NT-MW22-9,487367.603,5147577.135,297.48,295.68,Clay,4
8,NT-MW22-9,487367.603,5147577.135,295.68,284.14,Bedrock,7
9,NT-MW23-10,487390.523,5147661.184,297.13,295.61,Clay,4
10,NT-MW23-10,487390.523,5147661.184,295.61,294.77,Sand/Silt/Till2,5
11,NT-MW23-10,487390.523,5147661.184,294.77,287.35,Bedrock,7
12,NT-MW23-3,487391.089,5147658.747,297.13,295.13,Clay,4
13,NT-MW-24-9,487608.337,5147759.903,297.25,296.85,Organics,1
14,NT-MW-24-9,487608.337,5147759.903,296.85,288.58,Bedrock,7
15,NT-MW25-10,487765.922,5147894.381,294.35,293.59,Sand/Silt/Till1,3
16,NT-MW25-10,487765.922,5147894.381,293.59,292.83,Clay,4
17,NT-MW25-10,487765.922,5147894.381,292.83,292.22,Cobbles,6
18,NT-MW25-10,487765.922,5147894.381,292.22,284.52,Bedrock,7
19,NT-MW26-15,488177.439,5148285.734,289.14,287.62,Clay,4
20,NT-MW26-15,488177.439,5148285.734,287.62,282.34,Sand/Silt/Till2,5
21,NT-MW26-15,488177.439,5148285.734,282.34,279.14,Cobbles,6
22,NT-MW26-15,488177.439,5148285.734,279.14,275.34,Bedrock,7
23,NT-MW26-8,488179.84,5148285.744,289.23,287.71,Clay,4
24,NT-MW26-8,488179.84,5148285.744,287.71,282.43,Sand/Silt/Till2,5
25,NT-MW26-8,488179.84,5148285.744,282.43,280.04,Cobbles,6
26,NT-MW27-12,488148.115,5148281.634,288.77,287.25,Clay,4
27,NT-MW27-12,488148.115,5148281.634,287.25,283.07,Sand/Silt/Till2,5
28,NT-MW27-12,488148.115,5148281.634,283.07,277.9,Bedrock,7
29,NT-MW27-6,488148.187,5148281.607,288.77,283.29,Clay,4
30,NT-MW27-6,488148.187,5148281.607,283.29,277.9,Bedrock,7
31,NT-MW28-10,488872.02,5148599.114,304.5,303.74,Sand/Silt/Till1,3
32,NT-MW28-10,488872.02,5148599.114,303.74,303.13,Clay,4
33,NT-MW28-10,488872.02,5148599.114,303.13,302.57,Sand/Silt/Till2,5
34,NT-MW28-10,488872.02,5148599.114,302.57,294.8,Bedrock,7
35,NT-MW29-10,488661.235,5148391.267,298.26,297.85,Clay,4
36,NT-MW29-10,488661.235,5148391.267,297.85,288.96,Bedrock,7
37,NT-MW30-7,487302.524,5147438.199,297.42,296.61,Clay,4
38,NT-MW30-7,487302.524,5147438.199,296.61,291.1,Bedrock,7
39,NT-MW31-21,487346.672,5147543.586,298.21,296.84,Clay,4
40,NT-MW31-21,487346.672,5147543.586,296.84,296.56,Sand/Silt/Till2,5
41,NT-MW31-21,487346.672,5147543.586,296.56,278.45,Bedrock,7
42,NT-MW31-3,487345.88,5147543.336,298.18,296.81,Clay,4
43,NT-MW31-3,487345.88,5147543.336,296.81,296.53,Sand/Silt/Till2,5
44,NT-MW31-3,487345.88,5147543.336,296.53,278.38,Bedrock,7
45,NT-TW1,487376.583,5147501.536,299.64,299.34,ConcreteCrush,2
46,NT-TW1,487376.583,5147501.536,299.34,298.12,Sand/Silt/Till1,3
47,NT-TW1,487376.583,5147501.536,298.12,280.69,Bedrock,7
48,NT-TW2,487357.429,5147573.882,298.33,297.83,ConcreteCrush,2
49,NT-TW2,487357.429,5147573.882,297.83,292.46,Sand/Silt/Till1,3
50,NT-TW2,487357.429,5147573.882,292.46,276.12,Bedrock,7
51,NT-TW3,488152.922,5148269.793,289.29,288.99,Sand/Silt/Till1,3
52,NT-TW3,488152.922,5148269.793,288.99,279.29,Clay,4
53,NT-TW3,488152.922,5148269.793,279.29,264.28,Bedrock,7
54,NT-TW4,488870.286,5148617.201,304.36,304.16,Sand/Silt/Till1,3
55,NT-TW4,488870.286,5148617.201,304.16,288.45,Bedrock,7
56,NT-TW5,488674.623,5148390.452,298.31,296.94,Sand/Silt/Till1,3
57,NT-TW5,488674.623,5148390.452,296.94,281.06,Bedrock,7
58,NS14-01 BC/BR,487389,5147480,298.46,297.07,Sand/Silt/Till1,3
59,NS14-01 BC/BR,487389,5147480,297.07,237.46,Bedrock,7
60,NS14-02 BC/BR,487365,5147596,297.82,294.64,Sand/Silt/Till1,3
61,NS14-02 BC/BR,487365,5147596,294.64,236.82,Bedrock,7
62,NN-MW7-4,489030.55,5149000.63,302.73,301.82,ConcreteCrush,2
63,NN-MW7-4,489030.55,5149000.63,301.82,300.82,Sand/Silt/Till1,3
64,NN-MW7-4,489030.55,5149000.63,300.82,299,Cobbles,6
65,NN-MW7-8,489030.56,5149004.06,302.68,301.77,ConcreteCrush,2
66,NN-MW7-8,489030.56,5149004.06,301.77,300.77,Sand/Silt/Till1,3
67,NN-MW7-8,489030.56,5149004.06,300.77,299.22,Cobbles,6
68,NN-MW7-8,489030.56,5149004.06,299.22,294.53,Bedrock,7
69,NN-MW7-25,489030.43,5149002.14,302.72,301.81,ConcreteCrush,2
70,NN-MW7-25,489030.43,5149002.14,301.81,300.81,Cobbles,6
71,NN-MW7-25,489030.43,5149002.14,300.81,248.35,Bedrock,7
72,NN-MW8-2,489388.31,5149244.93,303.98,303.01,Organics,1
73,NN-MW8-2,489388.31,5149244.93,303.01,303,Bedrock,7
74,NN-MW8-24,489383.49,5149248.45,304.23,303.55,Sand/Silt/Till1,3
75,NN-MW8-24,489383.49,5149248.45,303.55,278.7,Bedrock,7
76,NN-MW8-36,489383.04,5149246.46,304.12,303.62,Sand/Silt/Till1,3
77,NN-MW8-36,489383.04,5149246.46,303.62,268.15,Bedrock,7
78,CN-MW20A-4,485409.14,5147100.31,302.7,301.36,Sand/Silt/Till1,3
79,CN-MW20A-4,485409.14,5147100.31,301.36,298.11,Bedrock,7
80,CN-MW22-6,485590.15,5147057.68,301,299.02,Sand/Silt/Till1,3
81,CN-MW22-6,485590.15,5147057.68,299.02,295.69,Bedrock,7
82,CN-MW23-6,485692.43,5146984.28,302.58,300.62,Sand/Silt/Till1,3
83,CN-MW23-6,485692.43,5146984.28,300.62,297.45,Bedrock,7
84,CN-MW24-5,485889.25,5146903.31,303.45,302.64,Sand/Silt/Till1,3
85,CN-MW24-5,485889.25,5146903.31,302.64,299.47,Bedrock,7
86,CN-MW26-4,485979.51,5146815.94,302.69,300.56,Sand/Silt/Till1,3
87,CN-MW26-4,485979.51,5146815.94,300.56,296.92,Bedrock,7
88,CN-MW27-6,485224.63,5146799.89,300.53,300.43,Organics,1
89,CN-MW27-6,485224.63,5146799.89,300.43,298.24,Sand/Silt/Till1,3
90,CN-MW27-6,485224.63,5146799.89,298.24,297.71,Cobbles,6
91,CN-MW27-6,485224.63,5146799.89,297.71,295.58,Bedrock,7
92,CN-MW28-6,485307.64,5146881.58,299.67,299.57,Organics,1
93,CN-MW28-6,485307.64,5146881.58,299.57,296.62,Sand/Silt/Till1,3
94,CN-MW28-6,485307.64,5146881.58,296.62,294.77,Bedrock,7
95,CN-MW29-4,485530.16,5146924.33,301.19,301.09,Organics,1
96,CN-MW29-4,485530.16,5146924.33,301.09,298.07,Sand/Silt/Till1,3
97,CN-MW29-4,485530.16,5146924.33,298.07,295.96,Bedrock,7
98,NT-BH01,488842,5148590,308,306.93,Sand/Silt/Till1,3
99,NT-BH01,488842,5148590,306.93,296.39,Bedrock,7
100,NT-BH02,488864,5148612,312,309.92,Sand/Silt/Till1,3
101,NT-BH02,488864,5148612,309.92,300.11,Bedrock,7
102,NT-BH03,488897,5148661,312,307.43,Sand/Silt/Till1,3
103,NT-BH03,488897,5148661,307.43,305.9,Clay,4
104,NT-BH03,488897,5148661,305.9,303.41,Sand/Silt/Till2,5
105,NT-BH03,488897,5148661,303.41,293.76,Bedrock,7
106,NT-BH04,488909,5148697,313,311.93,Sand/Silt/Till1,3
